order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
233,179,Cancelled,F,2023-04-12 03:30:00 UTC,,,,1
395,303,Cancelled,F,2023-05-26 00:50:00 UTC,,,,2
418,323,Cancelled,F,2023-01-06 13:53:00 UTC,,,,2
420,325,Cancelled,F,2023-05-10 15:19:00 UTC,,,,1
500,381,Cancelled,F,2023-02-05 00:34:00 UTC,,,,1
613,474,Cancelled,F,2023-02-15 12:24:00 UTC,,,,1
652,506,Cancelled,F,2023-03-30 09:15:00 UTC,,,,1
725,569,Cancelled,F,2023-05-21 04:49:00 UTC,,,,1
929,736,Cancelled,F,2023-03-30 12:25:00 UTC,,,,1
1104,883,Cancelled,F,2023-06-27 14:45:00 UTC,,,,1
1349,1085,Cancelled,F,2023-03-23 03:02:00 UTC,,,,3
1605,1293,Cancelled,F,2023-06-15 18:50:00 UTC,,,,1
1734,1387,Cancelled,F,2023-04-11 06:47:00 UTC,,,,1
1769,1410,Cancelled,F,2023-06-25 10:14:00 UTC,,,,1
1928,1536,Cancelled,F,2023-05-18 04:18:00 UTC,,,,1
2059,1641,Cancelled,F,2023-05-10 00:50:00 UTC,,,,1
2108,1676,Cancelled,F,2023-01-02 11:11:00 UTC,,,,1
2254,1784,Cancelled,F,2023-02-09 06:16:00 UTC,,,,1
2441,1945,Cancelled,F,2023-05-15 02:30:00 UTC,,,,2
2486,1985,Cancelled,F,2023-05-01 04:54:00 UTC,,,,2
2524,2016,Cancelled,F,2023-03-24 09:27:00 UTC,,,,1
2613,2085,Cancelled,F,2023-06-26 03:16:00 UTC,,,,1
2809,2238,Cancelled,F,2023-04-11 03:51:00 UTC,,,,1
2831,2253,Cancelled,F,2023-04-07 07:12:00 UTC,,,,1
2872,2290,Cancelled,F,2023-03-19 17:42:00 UTC,,,,2
3001,2400,Cancelled,F,2023-04-07 05:23:00 UTC,,,,1
3162,2541,Cancelled,F,2023-01-31 18:50:00 UTC,,,,1
3224,2589,Cancelled,F,2023-02-04 01:14:00 UTC,,,,1
3331,2674,Cancelled,F,2023-05-13 08:03:00 UTC,,,,4
3681,2977,Cancelled,F,2023-03-01 07:37:00 UTC,,,,1
3729,3009,Cancelled,F,2023-05-08 13:01:00 UTC,,,,4
3783,3056,Cancelled,F,2023-03-19 11:14:00 UTC,,,,1
3835,3099,Cancelled,F,2023-05-22 00:40:00 UTC,,,,1
3875,3129,Cancelled,F,2023-01-24 06:49:00 UTC,,,,1
4440,3576,Cancelled,F,2023-03-02 01:07:00 UTC,,,,2
4490,3613,Cancelled,F,2023-06-26 08:49:00 UTC,,,,2
4834,3911,Cancelled,F,2023-05-13 02:55:00 UTC,,,,1
4857,3925,Cancelled,F,2023-02-01 15:17:00 UTC,,,,1
5244,4205,Cancelled,F,2023-06-22 09:06:00 UTC,,,,2
5292,4243,Cancelled,F,2023-02-04 03:35:00 UTC,,,,1
5755,4644,Cancelled,F,2023-01-04 17:54:00 UTC,,,,1
5795,4675,Cancelled,F,2023-04-28 18:29:00 UTC,,,,2
6113,4940,Cancelled,F,2023-01-30 05:51:00 UTC,,,,1
6294,5094,Cancelled,F,2023-04-02 06:00:00 UTC,,,,1
6467,5227,Cancelled,F,2023-02-24 06:45:00 UTC,,,,1
6588,5331,Cancelled,F,2023-02-04 01:06:00 UTC,,,,1
6812,5517,Cancelled,F,2023-05-13 13:09:00 UTC,,,,2
6819,5521,Cancelled,F,2023-05-02 01:31:00 UTC,,,,2
6860,5554,Cancelled,F,2023-03-07 08:19:00 UTC,,,,2
6909,5587,Cancelled,F,2023-03-03 12:04:00 UTC,,,,4
7111,5762,Cancelled,F,2023-05-17 05:15:00 UTC,,,,1
7692,6246,Cancelled,F,2023-04-25 15:19:00 UTC,,,,2
7880,6399,Cancelled,F,2023-05-31 05:51:00 UTC,,,,4
8031,6525,Cancelled,F,2023-05-09 09:42:00 UTC,,,,1
8308,6739,Cancelled,F,2023-06-10 09:43:00 UTC,,,,1
8372,6786,Cancelled,F,2023-01-21 10:18:00 UTC,,,,2
8590,6947,Cancelled,F,2023-06-11 11:26:00 UTC,,,,1
8624,6979,Cancelled,F,2023-03-20 10:43:00 UTC,,,,1
8930,7210,Cancelled,F,2023-04-05 17:49:00 UTC,,,,4
9172,7397,Cancelled,F,2023-01-18 04:36:00 UTC,,,,1
9174,7398,Cancelled,F,2023-04-05 03:23:00 UTC,,,,1
9348,7548,Cancelled,F,2023-03-06 02:26:00 UTC,,,,1
9482,7651,Cancelled,F,2023-03-27 00:19:00 UTC,,,,3
9622,7784,Cancelled,F,2023-02-03 14:37:00 UTC,,,,2
9777,7924,Cancelled,F,2023-03-13 00:49:00 UTC,,,,1
9849,7978,Cancelled,F,2023-04-11 01:04:00 UTC,,,,2
9870,7992,Cancelled,F,2023-06-28 08:23:00 UTC,,,,3
10015,8114,Cancelled,F,2023-05-13 16:18:00 UTC,,,,1
10271,8328,Cancelled,F,2023-05-21 13:14:00 UTC,,,,1
10318,8364,Cancelled,F,2023-06-04 01:15:00 UTC,,,,3
10861,8791,Cancelled,F,2023-01-30 03:30:00 UTC,,,,1
11125,9004,Cancelled,F,2023-05-14 01:16:00 UTC,,,,1
